	Position	CompanyName	Skills	Published	MoreInfo
89	Data Analyst	Alstom Projects India Ltd.	database, master data, sap, implementation, Sap-is, infrastructure, mdm	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-alstom-projects-india-ltd-bengaluru-bangalore-2-to-5-yrs-jobid-adhAHh6Co6JzpSvf__PLUS__uAgZw==&source=srp
90	Data Analyst	Ground Truth	python, mobile, sql, database, written communication, infrastructure, linux	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-ground-truth-gurgaon-2-to-3-yrs-jobid-9JO4EkpdRF1zpSvf__PLUS__uAgZw==&source=srp
91	Data Analyst	Analytics Vidhya	bi, business intelligence, sql, qlikview	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-hyderabad-secunderabad-mumbai-delhi-delhi-ncr-pune-2-to-5-yrs-jobid-Bw7ZrxrSg__PLUS__1zpSvf__PLUS__uAgZw==&source=srp
92	Data Analyst	Analytics Vidhya	python, sql, messaging, infrastructure	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-noida-greater-noida-2-to-5-yrs-jobid-AMMaWFH6RutzpSvf__PLUS__uAgZw==&source=srp
93	Data analyst	TARGET	hive, sql, big data, technical skills, pl  /  sql, python, machine learning	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-target-bengaluru-bangalore-0-to-3-yrs-jobid-niY6ttyj9LFzpSvf__PLUS__uAgZw==&source=srp
94	Data Analyst	Analytics Vidhya	information technology, technology consulting, software life cycle, python, information management	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-hyderabad-secunderabad-3-to-8-yrs-jobid-pGN5TqvtkqNzpSvf__PLUS__uAgZw==&source=srp
95	Data Analyst	Analytics Vidhya	python, problem solving, reporting tools	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-delhi-delhi-ncr-3-to-5-yrs-jobid-Icxd2xsqxtRzpSvf__PLUS__uAgZw==&source=srp
96	Data Analyst	AMAZON INDIA PVT LTD	data mining, data warehousing, sql, python, ms access, problem solving, windows	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-amazon-india-pvt-ltd-bengaluru-bangalore-2-to-5-yrs-jobid-qccwiL0SQhVzpSvf__PLUS__uAgZw==&source=srp
97	Data Analyst	Analytics Vidhya	python, sas, data mining, ensemble, machine learning, sql, pl  /  sql	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-bengaluru-bangalore-0-to-2-yrs-jobid-MtyQsRMwZxJzpSvf__PLUS__uAgZw==&source=srp
98	Data Analyst	Analytics Vidhya	sql, unix shell scripting, games, perl, python, perl scripting, sas, problem solving, unix shell, php	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-bengaluru-bangalore-4-to-6-yrs-jobid-nnxs2BKw44dzpSvf__PLUS__uAgZw==&source=srp
99	Data Analyst	advanced risk analytics private limited	visualizing data, data collection, Flood data	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-advanced-risk-analytics-private-limited-pune-0-to-3-yrs-jobid-TmPblskT8fVzpSvf__PLUS__uAgZw==&source=srp
100	Data Analyst	Bloom Consulting Services	bi, sql, database, devops, ssrs	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-bloom-consulting-services-bengaluru-bangalore-1-to-2-yrs-jobid-ZBVLr2lubmpzpSvf__PLUS__uAgZw==&source=srp
